product_id,id_web,price,total_sales,post_title,z_score
4254,12203,26.9,0,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,0.20111584626769521
4256,14253,24.4,0,Domaine Huet Vouvray Haut-Lieu Sec 2017,0.2910098704539569
4257,12476,31.7,0,Domaine Huet Vouvray Le Mont Moelleux 2015,0.02851931983007281
4258,14485,32.1,5,Domaine Huet Vouvray Le Mont Sec 2017,0.014136275960270868
4260,14945,12.2,2,Chermette Domaine du Vissoux Beaujolais Blanc Collonge 2017,0.7296927084829138
4261,15662,9.9,1,Chermette Domaine du Vissoux Beaujolais Griottes 2018,0.8123952107342745
4262,15663,15.8,3,Chermette Domaine du Vissoux Brouilly Pierreux 2018,0.6002453136546969
4263,15664,15.8,0,Chermette Domaine du Vissoux Fleurie Poncié 2018,0.6002453136546969
4264,15665,17.8,2,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,0.5283300943056876
4265,15136,9.6,3,Domaine Bulliat Beaujolais Villages Bibine 2018,0.8231824936366258
4267,16537,19.0,2,Domaine Bulliat Morgon Amphore Cou de Jus 2019,0.485180962696282
4268,16307,15.2,1,Domaine Bulliat Morgon Le Colombier 2019,0.6218198794593998
4269,16244,10.2,0,Domaine Sérol Côte Roannaise Les Originelles 2019,0.801607927831923
4270,15839,15.5,4,Domaine Sérol Côte Roannaise Les Millerands 2018,0.6110325965570483
4271,13460,16.6,0,Domaine Sérol Côte Roannaise Perdrizière 2016,0.5714792259150931
4272,13089,9.2,1,Domaine Sérol Côte Roannaise Rosé Cabochard 2016,0.8375655375064277
4274,12942,12.9,0,Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale,0.7045223817107605
4275,14864,14.9,12,I Fabbri Chianti Classico Lamole 2017,0.6326071623617512
4276,14527,17.6,0,I Fabbri Chianti Classico Terra Di Lamole 2015,0.5355216162405885
4277,14865,24.8,3,I Fabbri Chianti Classico Riserva 2015,0.27662682658415494
4280,15690,18.9,0,Château de Cazeneuve Languedoc Blanc 2016,0.48877672366373254
4281,16330,11.6,0,Château de Cazeneuve Val de Montferrand Rouge Caza Sorix 2019,0.7512672742876164
4283,16154,27.0,4,Château de Cazeneuve Pic Saint-Loup Le Roc Des Mates 2017,0.1975200853002447
4285,16153,41.0,8,Château de Cazeneuve Pic Saint-Loup Le Sang Du Calvaire 2017,0.30588645014282057
4286,16066,69.8,10,Domaine Hauvette Les Baux de Provence Amethyste 2017,1.3414656087685548
4287,16065,38.6,1,Domaine Hauvette Les Baux de Provence Cornaline 2014,0.21958818692400944
4288,15292,26.7,1,Domaine Hauvette IGP Alpilles Jaspe 2017,0.20830736820259613
4297,16246,19.0,0,Domaine de La Tour Du Bon Bandol Blanc 2019,0.485180962696282
4298,16501,23.2,1,Domaine de La Tour Du Bon Bandol Rouge 2018,0.33415900206336246
4299,16578,39.1,0,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,0.23756699176126178
4300,15567,44.0,1,Domaine de La Tour Du Bon Bandol Rouge En Sol 2017,0.4137592791663346
4301,16553,17.5,3,Domaine de La Tour Du Bon Bandol Rosé 2019,0.539117377208039
4303,13172,30.0,0,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,0.08964725627673072
4304,15120,8.1,0,Domaine de l'Idylle Savoie Cruet 2018,0.8771189081483828
4306,15949,10.7,1,Domaine de l'Idylle Roussette de Savoie Anne de Chypre 2018,0.7836291229946707
4307,15946,10.9,0,Domaine de l'Idylle Savoie Mondeuse Le Tithonien 2018,0.7764376010597698
4334,7818,49.0,96,Champagne Gosset Grand Blanc de Blancs,0.5935473275388579
4336,13599,35.5,1,Champagne Mailly Grand Cru Blanc de Pinot Noir,0.10811959693304493
4337,4679,83.0,0,Champagne Mailly Grand Cru Les Echansons 2007,1.8161060564720164
4348,12586,59.0,0,Champagne Egly-Ouriet Grand Cru Brut Tradition,0.9531234242839045
4350,12588,79.5,0,Champagne Egly-Ouriet Grand Cru Extra Brut V.P.,1.6902544226112501
4353,12587,79.5,3,Champagne Egly-Ouriet Grand Cru Brut Rosé,1.6902544226112501
4356,12585,51.6,12,Champagne Egly-Ouriet Premier Cru Les Vignes de Vrigny,0.6870371126925701
4357,9562,39.0,0,Champagne Larmandier-Bernier Latitude,0.23397123079381124
4358,13854,77.0,0,Champagne Larmandier-Bernier Grand Cru Vieilles Vignes du Levant 2008,1.6003603984249883
4359,13853,85.6,1,Champagne Larmandier-Bernier Grand Cru Les Chemins d'Avize 2011,1.9095958416257284
4364,11585,49.5,1,Wemyss Malts Blended Malt Scotch Whisky The Hive,0.6115261323761102
4391,11467,49.5,0,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney,0.6115261323761102
4392,11586,49.5,0,Wemyss Malts Blended Malt Scotch Whisky Spice King,0.6115261323761102
4393,13765,57.0,0,Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst,0.8812082049348952
4394,13766,59.8,0,Wemyss Malts Blended Malt Scotch Whisky Treacle Chest,0.9818895120235082
4395,11587,27.5,0,Wemyss Malts Blended Scotch Whisky Lord Elcho,0.17954128046299236
4396,9636,62.0,0,Wemyss Malts Blended Malt Scotch Whisky The Hive 12 ans,1.0609962533074184
4397,12639,59.0,0,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,0.9531234242839045
4398,12641,59.0,0,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength,0.9531234242839045
4399,12640,59.0,1,Wemyss Malts Blended Malt Scotch Whisky Spice King Batch Strength,0.9531234242839045
4400,14768,44.0,0,Cognac Frapin 1270,0.4137592791663346
4401,3506,62.5,1,Cognac Frapin VSOP,1.0789750581446709
4405,13230,68.1,0,Cognac Frapin Château de Fontpinot XO 1/2,1.2803376723218967
4558,15426,28.1,3,Domaine de Montcalmès Terrasses du Larzac Rouge 2017,0.15796671465828951
4564,15621,21.7,19,Domaine Giudicelli Vin de France Eté Rouge 2018,0.3880954165751194
4566,15457,28.5,0,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,0.14358367078848772
4573,13604,67.2,0,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,1.2479758236148428
4596,15476,43.9,23,Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017,0.410163518198884
4597,14000,61.6,2,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,1.0466132094376166
4598,15478,41.8,1,Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017,0.3346525378824242
4600,15475,26.5,0,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,0.21549889013749704
4601,16151,16.1,4,Catherine et Claude Maréchal Bourgogne Aligoté 2018,0.5894580307523455
4602,15659,31.5,7,Catherine et Claude Maréchal Chorey-Lès-Beaune 2017,0.035710841764973716
4603,15147,31.5,1,Catherine et Claude Maréchal Ladoix Rouge Les Chaillots 2017,0.035710841764973716
4604,15660,49.0,1,Catherine et Claude Maréchal Pommard La Chanière 2016,0.5935473275388579
4605,15148,32.2,0,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,0.010540514992820351
4606,15149,50.1,1,Catherine et Claude Maréchal Volnay 2017,0.633100698180813
4607,15146,13.4,0,François Bergeret Hautes Côtes de Beaune Vieilles Vignes Rondo 2017,0.6865435768735082
4609,15145,11.8,0,François Bergeret Hautes Côtes de Beaune Rouge 2017,0.7440757523527155
4610,15801,13.1,0,François Bergeret Hautes Côtes de Beaune Blanc 2018,0.6973308597758595
4611,15452,26.2,15,Gilbert Picq Chablis Vosgros 1er Cru 2017,0.22628617303984846
4612,15038,20.6,10,Gilbert Picq Chablis Vieilles Vignes 2017,0.4276487872170745
4613,15030,16.9,9,Gilbert Picq Chablis 2017,0.5606919430127418
4614,15875,19.0,11,Gilbert Picq Chablis En Vaudécorse 2017,0.485180962696282
4615,16186,24.0,7,Alphonse Mellot Sancerre Blanc La Moussière 2018,0.3053929143237587
4616,14371,57.0,0,Alphonse Mellot Sancerre Rouge La Demoiselle 2015,0.8812082049348952
4617,10459,67.5,0,Alphonse Mellot Sancerre Rouge Génération XIX 2011,1.258763106517194
4618,14372,30.6,0,Alphonse Mellot Sancerre Rouge La Moussière 2014,0.06807269047202787
4619,11049,59.0,0,Alphonse Mellot Sancerre Rouge En Grands Champs 2012,0.9531234242839045
4620,15850,11.9,6,Bernard Baudry Chinon Rouge Les Granges 2018,0.7404799913852652
4621,15849,16.5,9,Bernard Baudry Chinon Rouge Les Grézeaux 2017,0.5750749868825437
4625,812,52.4,0,Marcel Windholtz Eau de Vie de Sureau,0.7158032004321737
4626,807,52.9,0,Marcel Windholtz Eau de Vie de Prunelle Sauvage,0.733782005269426
4627,805,58.3,4,Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière,0.9279530975117511
