product_id,id_web,price,total_sales,post_title,ca_par_bouteille
5397,12496,24.0,0,Chili De Martino Viejas Tinajas Cinsault 2013,0.0
5398,12315,39.0,1,Chili Montsecano (Ostertag) Pinot Noir 2013,39.0
5439,15649,13.2,18,La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,237.6
5443,14809,23.6,5,La Rectorie Banyuls Léon Parcé 2016,118.0
5444,15155,15.5,1,La Préceptorie Maury Rouge Cuvée Aurélie 2017,15.5
5445,12194,16.3,0,La Préceptorie Maury Blanc 2015,0.0
5446,16328,16.2,0,Parcé Frères Banyuls Rimage 2018,0.0
5448,14469,7.2,0,Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,0.0
5465,16034,54.8,3,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,164.4
5474,14679,42.0,4,Domaine Saint-Nicolas Fiefs Vendéens Rouge La Grande Pièce 2013,168.0
5477,15526,19.8,4,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,79.2
5479,16305,10.2,3,Domaine Bulliat Beaujolais Blanc 2019,30.6
5480,16306,10.4,1,Domaine Bulliat Chiroubles Cuvée Félix 2019,10.4
5481,15138,11.5,0,Domaine Bulliat Moulin-à-Vent 2017,0.0
5483,15753,17.9,0,David-Beaupère Juliénas La Bottière Vieilles Vignes 2018,0.0
5484,15756,21.6,1,David-Beaupère Juliénas Vayolette 2017,21.6
5485,16131,33.4,3,Decelle-Villa Savigny-Lès-Beaune Blanc 2018,100.2
5486,16130,49.5,9,Decelle-Villa Meursault 2018,445.5
5487,16129,43.5,3,Decelle-Villa Nuits-Saint-Georges Rouge 2016,130.5
5488,14712,43.5,0,Decelle-Villa Beaune Rouge 2015,0.0
5491,15481,26.5,0,Marc Colin Et Fils Santenay Rouge 2017,0.0
5504,16146,13.8,3,Château de la Selve Coteaux de l'Ardèche Blanc Saint-Régis Blanc 2019,41.4
5506,14192,18.2,0,Château de la Selve Coteaux de l'Ardèche Rouge Serre de Berty 2014,0.0
5519,15860,12.9,22,Domaine Chambeyron Côtes du Rhône 2017,283.8
5520,15863,38.6,2,Domaine Chambeyron Côte Rôtie La Chavarine 2017,77.2
5522,15861,48.4,1,Domaine Chambeyron Côte Rôtie L'Angéline 2017,48.4
5523,15862,60.4,1,Domaine Chambeyron Côte Rôtie Lancement 2017,60.4
5524,15864,38.6,1,Domaine Chambeyron Condrieu Vernon 2018,38.6
5525,14819,12.0,0,Domaine Chambeyron Vin de Pays des Collines Rhodaniennes Viognier 2016,0.0
5544,14828,61.6,0,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,0.0
5545,14827,65.9,7,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Caillerets 1er Cru 2016,461.3
5546,15202,15.2,6,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,91.2
5547,13959,24.6,1,Thierry Germain Saumur-Champigny Terres Chaudes 2017,24.6
5548,13965,48.8,0,Thierry Germain Saumur-Champigny Outre Terre 2017,0.0
5550,13958,34.3,0,Thierry Germain Saumur-Champigny La Marginale 2017,0.0
5551,13957,36.3,0,Thierry Germain Saumur-Champigny Franc De Pied 2017,0.0
5552,13520,57.7,0,Thierry Germain Saumur Blanc Clos Roman 2016,0.0
5554,13969,38.0,0,Thierry Germain Saumur-Champigny Clos de l'Echelier 2017,0.0
5561,19820,58.0,0,Tempier Bandol Migoua 2017,0.0
5563,19821,58.0,0,Tempier Bandol Tourtine 2017,0.0
5564,15748,30.8,3,Tempier Bandol Rouge 2017,92.4
5565,19822,92.0,0,Tempier Bandol Cabassaou 2017,0.0
5566,16192,27.5,0,Le Pas de l'Escalette Terrasses du Larzac Le Grand Pas 2018,0.0
5573,14729,34.7,0,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,0.0
5574,8463,59.6,0,Domaine Huet Vouvray Le Mont Moelleux Première Trie 2008,0.0
5580,13982,83.7,0,Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016,0.0
5608,15944,30.5,2,Domaine Weinbach Gewurztraminer Cuvée Théo 2018,61.0
5609,15930,38.6,2,Domaine Weinbach Riesling Cuvée Colette 2018,77.2
5610,14912,18.0,0,Domaine Weinbach Pinot Blanc 2017,0.0
5611,15945,63.4,1,Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018,63.4
